director_open_1M|director_num_bucket|director_rating_bucket
False|1|average
True|1|average
True|1|average
False|2-4|bad
True|1|good
True|1|average
True|1|good
True|1|bad
True|1|bad
True|1|average
False|1|average
True|1|average
False|1|
True|1|average
True|1|average
False|2-4|average
False|1|bad
False|5+|bad
True|1|average
False|2-4|average
False|1|average
True|1|average
True|1|good
False|1|average
True|1|bad
True|1|average
True|1|average
True|1|average
False|2-4|average
True|1|average
False|1|bad
True|2-4|average
False|1|average
False|2-4|average
False|1|average
False|1|average
False|1|average
False|2-4|average
False|1|average
False|2-4|average
True|1|good
True|1|average
True|2-4|average
False|2-4|bad
False|1|average
False|2-4|average
False|2-4|good
False|1|bad
False|2-4|bad
False|1|average
True|1|bad
False|2-4|average
True|1|
True|1|average
True|1|good
False|1|average
False|2-4|average
True|1|average
True|1|bad
True|1|average
True|1|good
True|1|average
False|5+|average
False|2-4|average
True|2-4|average
True|1|good
False|2-4|average
True|1|average
True|1|average
False|2-4|average
True|1|average
False|1|average
True|1|average
True|2-4|average
False|2-4|average
True|1|average
False|2-4|good
False|2-4|average
True|1|good
False|1|average
True|1|average
True|1|average
False|1|bad
False|5+|average
False|5+|average
False|5+|average
False|5+|average
False|1|bad
True|1|average
False|1|average
False|2-4|average
True|1|average
True|1|average
True|2-4|average
True|1|average
False|1|bad
True|1|average
False|1|average
True|1|average
False|1|average
False|2-4|average
False|1|average
False|1|bad
False|5+|average
True|1|average
False|1|average
True|1|good
False|2-4|average
True|1|good
True|1|good
True|1|good
False|1|average
False|2-4|average
False|2-4|average
False|1|average
False|2-4|average
False|2-4|average
True|1|average
True|2-4|average
True|1|average
True|1|average
True|1|good
False|1|average
True|1|good
True|1|average
False|2-4|average
False|2-4|average
False|5+|average
True|1|average
False|1|average
False|2-4|average
False|1|average
False|2-4|average
False|2-4|average
True|1|good
False|2-4|average
True|2-4|average
False|2-4|average
True|1|good
True|1|average
False|1|bad
False|2-4|good
True|1|average
True|1|average
True|1|average
True|1|average
False|2-4|average
True|1|average
True|1|average
True|1|average
False|2-4|average
False|1|average
False|2-4|average
False|2-4|average
False|1|average
False|1|average
True|1|good
False|1|good
False|2-4|average
False|2-4|average
True|1|average
False|2-4|average
False|1|average
True|1|bad
False|1|bad
False|2-4|average
False|2-4|average
False|1|average
True|1|bad
False|1|bad
False|1|good
False|1|bad
False|5+|average
True|2-4|average
True|5+|average
False|2-4|good
False|1|average
True|1|
False|1|average
False|1|average
False|2-4|average
