,studio,movie_count,metascore_mean,domestic_gross_median,metascore_mean_bucket,domestic_gross_median_bucket,movie_count_bucket
0,,31,51.0625,285106.0,M,L,B
1,"""DIA"" Productions GmbH & Co. KG",1,31.0,34341945.0,L,L,S
2,108 Media,1,56.0,190022.0,M,L,S
3,20th Century Fox Home Entertainment,6,65.3333333333,19972738.5,M,L,S
4,518 Media,1,72.0,861355.0,H,L,S
5,8X Entertainment Inc.,1,26.0,1285167.0,L,L,S
6,A24,14,65.7857142857,1601237.0,M,L,M
7,ABKCO Films,1,76.0,293680.0,H,L,S
8,AMC Theatres,1,55.0,57387.0,M,L,S
9,ARC Entertainment (II),1,35.0,5672846.0,L,L,S
10,ATO Pictures,4,58.25,723111.5,M,L,S
11,Abramorama,8,63.25,228415.0,M,L,S
12,Adopt Films,4,70.75,356000.0,H,L,S
13,Affirm Films,1,28.0,33456317.0,L,L,S
14,After Dark Films,2,25.0,1646404.5,L,L,S
15,Alliance Atlantis Home Video,1,87.0,78676425.0,H,L,S
16,Alluvial Film Company,1,84.0,77556.0,H,L,S
17,American Broadcasting Company (ABC),9,55.4444444444,63658910.0,M,L,S
18,American Cinematheque,1,69.0,131296.0,M,L,S
19,Amplify,1,58.0,102757.0,M,L,S
20,Anchor Bay Entertainment,8,55.0,111025.5,M,L,S
21,Anchor Bay Films,21,44.8333333333,41587.0,M,L,M
22,Anderson Digital,2,34.0,3434.0,L,L,S
23,Apparition,4,68.75,4009155.0,M,L,S
24,Area23a,1,63.0,150886.0,M,L,S
25,Arenas Entertainment,1,65.0,1553826.0,M,L,S
26,Arenas Group,1,49.0,1117864.0,M,L,S
27,Ariztical Entertainment,2,33.5,96142.0,L,L,S
28,Arthouse Films,1,78.0,187716.0,H,L,S
29,Artisan Entertainment,6,68.3333333333,4868732.0,M,L,S
30,Associated Film Distribution (AFD),1,69.0,65200000.0,M,L,S
31,Avenue Pictures Productions,1,82.0,4729352.0,H,L,S
32,Bandai Entertainment,2,58.0,568978.0,M,L,S
33,Bauer Martinez Studios,1,56.0,3337931.0,M,L,S
34,Big World Pictures,1,64.0,,M,H,S
35,"Bigger Picture, The",1,49.0,3438735.0,M,L,S
36,Black Diamond Pictures,1,25.0,1066555.0,L,L,S
37,Bleecker Street,1,58.0,2503853.0,M,L,S
38,Breaking Glass Pictures,3,61.6666666667,32536.0,M,L,S
39,Buena Vista Home Video,1,38.0,47901582.0,L,L,S
40,Buena Vista International,1,80.0,4711096.0,H,L,S
41,Buena Vista Pictures,124,56.2580645161,62921027.0,M,L,B
42,Buena Vista Pictures Distribution,6,48.1666666667,37716677.0,M,L,S
43,Buena Vista Television,1,87.0,100317794.0,H,L,S
44,CBS Films,8,59.875,21444810.0,M,L,S
45,CBS/Fox,1,68.0,30036000.0,M,L,S
46,CW Television Network,1,52.0,2956339.0,M,L,S
47,Chicago Releasing,1,24.0,6881022.0,L,L,S
48,Cinecom Pictures,1,89.0,5095592.0,H,L,S
49,Cinedigm,3,69.6666666667,9124.0,M,L,S
50,Cinedigm Entertainment Group,5,52.4,71968.0,M,L,S
51,Cinema Guild,10,80.9,87991.0,H,L,S
